Designator,Mid X,Mid Y,Rotation,Layer
BT1,-5.08,-6.096,90.0,top
C1,-12.7,-10.16,270.0,top
C10,19.304,-0.508,0.0,top
C11,-3.556,-2.032,180.0,top
C12,13.462,16.764,90.0,top
C2,3.81,-9.144,0.0,top
C3,0.254,-11.684,90.0,top
C4,6.096,-11.859,90.0,top
C5,-9.144,18.796,0.0,top
C6,-9.144,17.018,0.0,top
C7,12.7,-10.16,270.0,top
C8,-6.604,-2.032,180.0,top
C9,-9.652,-2.032,180.0,top
D1,10.922,-14.416,270.0,top
D2,-10.922,-10.476,90.0,top
D3,-12.7,18.3134,90.0,top
D4,10.922,-10.476,90.0,top
D5,-12.446,-3.11,90.0,top
D6,6.604,-15.748,180.0,top
D7,0.508,-15.748,180.0,top
D8,-8.636,-15.748,0.0,top
J2,-18.542,-6.604,270.0,top
J3,-15.24,18.796,180.0,top
J4,18.542,-6.604,90.0,top
L1,-11.176,18.081,90.0,top
Q1,-2.794,-11.684,180.0,top
Q2,3.302,-6.604,0.0,top
R1,-17.78,-12.954,180.0,top
R10,-19.304,0.508,270.0,top
R11,1.778,-2.794,270.0,top
R12,16.51,16.764,270.0,top
R13,14.986,16.764,270.0,top
R14,15.24,-0.508,0.0,top
R15,12.7,-2.794,90.0,top
R16,3.556,-15.748,0.0,top
R17,-2.54,-15.748,0.0,top
R18,-9.652,-4.318,0.0,top
R19,-5.588,-11.938,270.0,top
R2,-14.732,-12.954,0.0,top
R20,-7.112,-11.938,270.0,top
R21,-8.636,-11.938,90.0,top
R22,7.62,-8.89,90.0,top
R23,6.096,-8.89,270.0,top
R24,6.096,-5.842,270.0,top
R25,-5.588,-15.748,180.0,top
R3,-7.112,17.018,180.0,top
R4,-3.429,18.796,90.0,top
R5,14.986,-12.954,180.0,top
R6,18.034,-12.954,0.0,top
R7,-1.27,-2.794,270.0,top
R8,0.254,-2.794,270.0,top
R9,3.302,-2.794,270.0,top
U2,-11.176,-6.858,180.0,top
U3,3.302,-11.684,0.0,top
U4,-6.858,7.62,270.0,top
U5,12.7,7.62,270.0,top
U6,-5.334,18.796,0.0,top
U7,11.176,-6.604,0.0,top
